file_name,category
0 QA1.zip,softwarelibrary_msdos
1.01.11.zip,softwarelibrary_msdos
100deeds.zip,softwarelibrary_msdos
101-dalmpk_archive.torrent,softwarelibrary_msdos
1234corbin_IDOS_archive.torrent,softwarelibrary_msdos
18th_airborne_archive.torrent,softwarelibrary_msdos
1989-the-music-creator-v13_archive.torrent,softwarelibrary_msdos
1_20240816_20240816_1504_archive.torrent,softwarelibrary_msdos
1ral11.zip,softwarelibrary_msdos
2-pm-2-krv_archive.torrent,softwarelibrary_msdos
20221213_20221213_1519_archive.torrent,softwarelibrary_msdos
2048.ZIP,softwarelibrary_msdos
21-ochko_archive.torrent,softwarelibrary_msdos
21-ochko-suvorov_archive.torrent,softwarelibrary_msdos
2112.zip,softwarelibrary_msdos
21Alamanac_archive.torrent,softwarelibrary_msdos
2SF.zip,softwarelibrary_msdos
2_20220708_20220708_1433_archive.torrent,softwarelibrary_msdos
2_20240816_20240816_1509_archive.torrent,softwarelibrary_msdos
3-D_Body_Adventure.gif,softwarelibrary_msdos
3-D_Dinosaur_Adventure.zip,softwarelibrary_msdos
3-dblox_archive.torrent,softwarelibrary_msdos
3-dshoot_archive.torrent,softwarelibrary_msdos
377.zip,softwarelibrary_msdos
3DTicTacToe.gif,softwarelibrary_msdos
3HERO.zip,softwarelibrary_msdos
3dchoreo.zip,softwarelibrary_msdos
3dhunt-grizzly_archive.torrent,softwarelibrary_msdos
3dhunt-trophy_archive.torrent,softwarelibrary_msdos
3dhunt-whitetaill_archive.torrent,softwarelibrary_msdos
4-pk_20221205_archive.torrent,softwarelibrary_msdos
410-Hugo_II_Whodunit.zip,softwarelibrary_msdos
44_Free_Programs_National_Software_Labs.img,softwarelibrary_msdos
4dos-6.01_archive.torrent,softwarelibrary_msdos
4dos800.zip,softwarelibrary_msdos
4wins.gif,softwarelibrary_msdos
5balls.zip,softwarelibrary_msdos
5x5.zip,softwarelibrary_msdos
688AttackSub.gif,softwarelibrary_msdos
73489_archive.torrent,softwarelibrary_msdos
777004B1/777.EXE,softwarelibrary_msdos
8088-domination-party-version_archive.torrent,softwarelibrary_msdos
92COL.gif,softwarelibrary_msdos
99things_dosbox.zip,softwarelibrary_msdos
ABCTALK.zip,softwarelibrary_msdos
ABC.zip,softwarelibrary_msdos
ACPDEMO.gif,softwarelibrary_msdos
ACTIVITY.ISO,softwarelibrary_msdos
ADI.zip,softwarelibrary_msdos
ADI_game.gif,softwarelibrary_msdos
ADV550.gif,softwarelibrary_msdos
AFBOOK.zip,softwarelibrary_msdos
AGI_TheLostPlanet09_archive.torrent,softwarelibrary_msdos
AIRDUEL.ZIP,softwarelibrary_msdos
ALADDINPS.zip,softwarelibrary_msdos
ALIGNMEN.EXE,softwarelibrary_msdos
ALPHABET.zip,softwarelibrary_msdos
ALTBEAST.zip,softwarelibrary_msdos
AM_21D_archive.torrent,softwarelibrary_msdos
AQ1.0_archive.torrent,softwarelibrary_msdos
ARCHID_archive.torrent,softwarelibrary_msdos
ARCY2P2.gif,softwarelibrary_msdos
ARCY2P3.gif,softwarelibrary_msdos
ARENA.zip,softwarelibrary_msdos
ARH140/ARHANGEL.DOC,softwarelibrary_msdos
ARKANOID.zip,softwarelibrary_msdos
ARTGALLERY.zip,softwarelibrary_msdos
ARTHUR.zip,softwarelibrary_msdos
ASDFADSFTEST_archive.torrent,softwarelibrary_msdos
AUTHORS.zip,softwarelibrary_msdos
AUTOCW.txt,softwarelibrary_msdos
AXE.zip,softwarelibrary_msdos
AZTECS.zip,softwarelibrary_msdos
AdLibVisualComposerV1.51.gif,softwarelibrary_msdos
Advent-chap1_archive.torrent,softwarelibrary_msdos
Aktie-Bal-II_archive.torrent,softwarelibrary_msdos
All the Right Type.img,softwarelibrary_msdos
Alsup_Propagator.gif,softwarelibrary_msdos
Amazing Maze v1.1 [SW] (1983)(Donovan W. Foster) [Strategy].zip,softwarelibrary_msdos
AngstAnExerciseInUrbanSurvival_1992_Niche_Software.gif,softwarelibrary_msdos
Antrun_archive.torrent,softwarelibrary_msdos
ARCVOLLE.zip,softwarelibrary_msdos
Aura_Incomplete_Nov_13_2004_archive.torrent,softwarelibrary_msdos
BART.zip,softwarelibrary_msdos
BATTLESH.zip,softwarelibrary_msdos
BBPS.zip,softwarelibrary_msdos
BB_DOS_archive.torrent,softwarelibrary_msdos
BDSAP/BDSAP.DEU,softwarelibrary_msdos
BEAST.zip,softwarelibrary_msdos
BELLYBUTTON.zip,softwarelibrary_msdos
BESANA.zip,softwarelibrary_msdos
BIGBANG.zip,softwarelibrary_msdos
BIGTIMER.gif,softwarelibrary_msdos
BLACKTHN.zip,softwarelibrary_msdos
BLAMDEMO.zip,softwarelibrary_msdos
BMRIDERS.zip,softwarelibrary_msdos
BOUNCE.EXE.gif,softwarelibrary_msdos
BREADBOX_archive.torrent,softwarelibrary_msdos
BRender_Broom_archive.torrent,softwarelibrary_msdos
BUBBLEBOBBLE.zip,softwarelibrary_msdos
BUGS.zip,softwarelibrary_msdos
BURGERTIME.zip,softwarelibrary_msdos
BannerBlueMovieGuide.gif,softwarelibrary_msdos
BibleAdventuresWisdomTree1992.gif,softwarelibrary_msdos
BigBlueDiskSampler.img,softwarelibrary_msdos
BlastZorakPC.exe,softwarelibrary_msdos
BlindC.gif,softwarelibrary_msdos
BannerBlueMovieGuide(1991)_screenshot.gif,softwarelibrary_msdos
Bluesnd.zip,softwarelibrary_msdos
Blupimania.gif,softwarelibrary_msdos
BOMB.ZIP,softwarelibrary_msdos
BP_HEAT_TRAFFIC.zip,softwarelibrary_msdos
BorlandPascalWalkbrot.gif,softwarelibrary_msdos
Brix1-sw_archive.torrent,softwarelibrary_msdos
Bs-aog-sw1_archive.torrent,softwarelibrary_msdos
BubGhost.gif,softwarelibrary_msdos
CARCOM11/ATOB,softwarelibrary_msdos
CARDMAST.zip,softwarelibrary_msdos
CARNIVAL.zip,softwarelibrary_msdos
CARR_3DHOUSE2.gif,softwarelibrary_msdos
CASTLEWN.zip,softwarelibrary_msdos
CASTLE.zip,softwarelibrary_msdos
CAVE-AGT.gif,softwarelibrary_msdos
CBVDEMO.gif,softwarelibrary_msdos
CCBOMB.zip,softwarelibrary_msdos
CELESTAL.zip,softwarelibrary_msdos
CE_PSYCH.zip,softwarelibrary_msdos
CGACAL.zip,softwarelibrary_msdos
CGA_COMP.zip,softwarelibrary_msdos
CHARC_archive.torrent,softwarelibrary_msdos
CHARLY.ZIP,softwarelibrary_msdos
CHIEFLZ3/CHFCRC.PAS,softwarelibrary_msdos
CIGARS.zip,softwarelibrary_msdos
CIVILIZATION.zip,softwarelibrary_msdos
CLIPDEMO.gif,softwarelibrary_msdos
CLUE.zip,softwarelibrary_msdos
Basics.pdf,softwarelibrary_msdos
COMMANDO.zip,softwarelibrary_msdos
CONTINUUM.zip,softwarelibrary_msdos
COOLGOLD.EXE,softwarelibrary_msdos
COURSE.zip,softwarelibrary_msdos
CPOKER.zip,softwarelibrary_msdos
CRAYOLAART.zip,softwarelibrary_msdos
CSERVE.zip,softwarelibrary_msdos
CT-10_03_archive.torrent,softwarelibrary_msdos
CTHUGHA.zip,softwarelibrary_msdos
CUP386_archive.torrent,softwarelibrary_msdos
CYBEREMP.zip,softwarelibrary_msdos
CYBEROP.zip,softwarelibrary_msdos
Captain-comic-rev5_archive.torrent,softwarelibrary_msdos
Capture1_201903_archive.torrent,softwarelibrary_msdos
CUCOMP.iso,softwarelibrary_msdos
Cat333pokemon-WNTRWRAP_archive.torrent,softwarelibrary_msdos
CAVBOB.zip,softwarelibrary_msdos
CELTIC.zip,softwarelibrary_msdos
CHAOS.zip,softwarelibrary_msdos
CHRONOS_S.A._CHECK-PRONTO_PLUS_VERSAO_5.4C.img,softwarelibrary_msdos
Chevtech_Disk_Drive.zip,softwarelibrary_msdos
ChexQuest12.gif,softwarelibrary_msdos
Chinesecheckers-imagisoft_archive.torrent,softwarelibrary_msdos
ChrHack.gif,softwarelibrary_msdos
ClaxPavlovsky_archive.torrent,softwarelibrary_msdos
Colband2000Fractais.gif,softwarelibrary_msdos
Color_Buster_DOS_archive.torrent,softwarelibrary_msdos
CCR.zip,softwarelibrary_msdos
Crates-demo_archive.torrent,softwarelibrary_msdos
Crow2DOSGameRussian.gif,softwarelibrary_msdos
Crystal-cave-sw1_archive.torrent,softwarelibrary_msdos
CULICOM.zip,softwarelibrary_msdos
Cybergene_1997.gif,softwarelibrary_msdos
DANGERPREV.zip,softwarelibrary_msdos
DANGERZONE-DOS.zip,softwarelibrary_msdos
DANTE.zip,softwarelibrary_msdos
DARDI.gif,softwarelibrary_msdos
DBFDEMO.gif,softwarelibrary_msdos
DBLOCKS.zip,softwarelibrary_msdos
DDDANGER.zip,softwarelibrary_msdos
DEARPAR.zip,softwarelibrary_msdos
AMG22SRC/AMG.PAS,softwarelibrary_msdos
DEF CON 19 Hacking Conference Presentation By - Mikko Hypponen - The History and the Evolution of Computer Viruses - Video and Slides.gif,softwarelibrary_msdos
DEMOFLUK.gif,softwarelibrary_msdos
DEMO.zip,softwarelibrary_msdos
DICK.zip,softwarelibrary_msdos
DIGDUG.zip,softwarelibrary_msdos
DINODISCOVERYKIT.zip,softwarelibrary_msdos
DINOTOPIA.ISO,softwarelibrary_msdos
DIRECTOR.zip,softwarelibrary_msdos
DOSAngband3.0.6.gif,softwarelibrary_msdos
DOS_A-B_2-5.ZIP,softwarelibrary_msdos
DOS_A-B_5-2.ZIP,softwarelibrary_msdos
DOS_AVS2_2-41a.ZIP,softwarelibrary_msdos
DOS_BERESHIT_1-7.ZIP,softwarelibrary_msdos
DOS_BZQCOM_2-03.ZIP,softwarelibrary_msdos
DOS_EINSTEIN_WRITER_7-4_ENGLISH.ZIP,softwarelibrary_msdos
DOS_EINSTEIN_WRITER_7-4_HEBREW.ZIP,softwarelibrary_msdos
DOS_EINSTEIN_WRITER_8-0_HEBREW_PRINTERS.ZIP,softwarelibrary_msdos
DRAGDEM.zip,softwarelibrary_msdos
DRAGOC.zip,softwarelibrary_msdos
DRAK100Levels.gif,softwarelibrary_msdos
DRALLYSW.zip,softwarelibrary_msdos
DUCKTALES.zip,softwarelibrary_msdos
DUKE1EXT.gif,softwarelibrary_msdos
DUKE3D.zip,softwarelibrary_msdos
Darts.zip,softwarelibrary_msdos
